image,true_labels,predicted_labels,cus_score,cus_omission,cus_hallucination,missed_conditions,hallucinated_conditions,hallucination_count
synthetic_027.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_028.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
synthetic_029.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_030.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_031.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_032.png,Consolidation,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Consolidation|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_033.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Consolidation|Edema|Emphysema|Pleural_Thickening|No Finding,0.1768,0.0,0.1768,none,Consolidation|Cardiomegaly,2
synthetic_034.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
synthetic_035.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_036.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_037.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_038.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Emphysema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
synthetic_039.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_040.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_041.png,Cardiomegaly,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.1037,0.0,0.1037,none,Nodule,1
synthetic_042.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_043.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_044.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_045.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_046.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_047.png,Consolidation,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.372,0.1829,0.189,Consolidation,Cardiomegaly|Nodule,2
synthetic_048.png,Cardiomegaly,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.1037,0.0,0.1037,none,Nodule,1
synthetic_049.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_050.png,Cardiomegaly,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.1037,0.0,0.1037,none,Nodule,1
synthetic_051.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_052.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_053.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_054.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_055.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_056.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_057.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_058.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_059.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Consolidation|Edema|Emphysema|Pleural_Thickening|No Finding,0.4756,0.1951,0.2805,Effusion,Cardiomegaly|Consolidation|Nodule,3
synthetic_060.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
synthetic_061.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_062.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_063.png,Hernia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_064.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_065.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_066.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_067.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_068.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_069.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_070.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_071.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_072.png,Edema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_073.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_074.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_075.png,Edema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_076.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
synthetic_077.png,Consolidation,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.372,0.1829,0.189,Consolidation,Cardiomegaly|Nodule,2
synthetic_078.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_079.png,Consolidation,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.372,0.1829,0.189,Consolidation,Cardiomegaly|Nodule,2
synthetic_080.png,Hernia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_081.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_082.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_083.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_084.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_085.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_086.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_087.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_088.png,Edema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_089.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_090.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_091.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_092.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_093.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_094.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_095.png,Pneumothorax,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.4329,0.2439,0.189,Pneumothorax,Cardiomegaly|Nodule,2
synthetic_096.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_097.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_098.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_099.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
